"","park","death_cause","death_group","intent","outcome","sex","age_range","activity","incident_date","year"
"1762","Anacostia Park","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Male","45-54","Driving",2015-12-21,2015
"1763","Yosemite National Park","Medical - Not during physical activity","Medical - Not during physical activity","Medical","Fatal Injury","Female","55-64","Other",2015-12-23,2015
"1764","Lake Mead National Recreation Area","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Male","45-54","Driving",2015-12-28,2015
"1765","Grand Canyon National Park","Suicide","Suicide","Intentional","Fatal Injury","Male","45-54","Suicide",2015-12-28,2015
"1766","Gateway National Recreation Area","Medical - During physical activity","Medical - During physical activity","Medical","Fatal Injury","Male","Not Reported","Other",2015-12-29,2015
"1767","Yellowstone National Park","Medical - Not during physical activity","Medical - Not during physical activity","Medical","Fatal Injury","Male","65+","Other",2015-12-31,2015
"1768","Lake Mead National Recreation Area","Medical - Not during physical activity","Medical - Not during physical activity","Medical","Fatal Injury","Male","65+","Driving",2016-01-02,2016
"1769","Cuyahoga Valley National Park","Medical - Not during physical activity","Medical - Not during physical activity","Medical","Fatal Injury","Male","55-64","Driving",2016-01-03,2016
"1770","Blue Ridge Parkway","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Male","35-44","Driving",2016-01-07,2016
"1771","Shenandoah National Park","Suicide","Suicide","Intentional","Fatal Injury","Male","35-44","Suicide",2016-01-09,2016
"1772","Lake Mead National Recreation Area","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Male","35-44","Driving",2016-01-10,2016
"1773","Blue Ridge Parkway","Suicide","Suicide","Intentional","Fatal Injury","Male","55-64","Suicide",2016-01-10,2016
"1774","Yosemite National Park","Medical - Not during physical activity","Medical - Not during physical activity","Medical","Fatal Injury","Female","45-54","Not Reported",2016-01-18,2016
"1775","Golden Gate National Recreation Area","Drowning","Drowning","Unintentional","Fatal Injury","Male","35-44","Vessel Related",2016-01-20,2016
