"","park","death_cause","death_group","intent","outcome","sex","age_range","activity","incident_date","year"
"866","Yosemite National Park","Drowning","Drowning","Unintentional","Fatal injury","Male","45-54","Swimming",2012-08-01,2012
"867","Apostle Islands National Lakeshore","Drowning","Drowning","Unintentional","Fatal injury","Male","65+","Swimming",2012-08-02,2012
"868","Shenandoah National Park","Fall","Fall","Unintentional","Fatal injury","Male","35-44","Not Reported",2012-08-02,2012
"869","Sequoia & Kings Canyon National Parks","Hyperthermia","Environmental","Unintentional","Fatal injury","Male","55-64","Not Reported",2012-08-02,2012
"870","Sleeping Bear Dunes National Lakeshore","Drowning","Drowning","Unintentional","Fatal injury","Male","35-44","Swimming",2012-08-05,2012
"871","Mount Rainier National Park","Avalanche","Environmental","Unintentional","Fatal injury","Male","Not Reported","Hiking",2012-08-06,2012
"872","Mount Rushmore National Memorial","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Male","Not Reported","Driving",2012-08-06,2012
"873","Little River Canyon National Preserve","Drowning","Drowning","Unintentional","Fatal injury","Male","45-54","Diving (Land)",2012-08-07,2012
"874","Death Valley National Park","Hyperthermia","Environmental","Unintentional","Fatal injury","Male","55-64","Hiking",2012-08-07,2012
"875","Death Valley National Park","Hyperthermia","Environmental","Unintentional","Fatal injury","Male","25-34","Playing Sports",2012-08-07,2012
"876","Saint Croix Island International Historic Site","Drowning","Drowning","Unintentional","Fatal injury","Female","0-14","Not Reported",2012-08-14,2012
"877","Yellowstone National Park","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Male","45-54","Driving",2012-08-14,2012
"878","Yosemite National Park","Drowning","Drowning","Unintentional","Fatal injury","Male","0-14","Swimming",2012-08-15,2012
"879","Yosemite National Park","Drowning","Drowning","Unintentional","Fatal injury","Male","0-14","Swimming",2012-08-15,2012
"880","Lake Mead National Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Male","45-54","Swimming",2012-08-18,2012
"881","Glen Canyon National Recreation Area","Fall","Fall","Unintentional","Fatal injury","Male","45-54","Not Reported",2012-08-18,2012
"882","North Cascades National Park","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Male","35-44","Driving",2012-08-19,2012
"883","Lake Mead National Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Male","Not Reported","Swimming",2012-08-20,2012
"884","Yellowstone National Park","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Not Reported","Not Reported","Driving",2012-08-20,2012
"885","Denali National Park & Preserve","Widlife incident","Wildlife Incident","Unintentional","Fatal injury","Male","45-54","Hiking",2012-08-24,2012
"886","Glen Canyon National Recreation Area","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Male","15-24","Driving",2012-08-26,2012
"887","Sequoia & Kings Canyon National Parks","Fall","Fall","Unintentional","Fatal injury","Male","55-64","Climbing",2012-09-01,2012
"888","Lake Mead National Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Male","45-54","Fishing",2012-09-02,2012
"889","Lake Mead National Recreation Area","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Not Reported","Not Reported","Driving",2012-09-02,2012
"890","Whiskeytown National Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Female","Not Reported","Walking",2012-09-04,2012
"891","Mount Rainier National Park","Avalanche","Environmental","Unintentional","Fatal injury","Female","Not Reported","Hiking",2012-09-06,2012
"892","Zion National Park","Fall","Fall","Unintentional","Fatal injury","Male","65+","Canyoneering",2012-09-19,2012
"893","Golden Gate National Recreation Area","Undetermined","Undetermined","Undetermined","Fatal injury","Not Reported","Not Reported","Not Reported",2012-09-19,2012
"894","Glen Canyon National Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Male","35-44","Swimming",2012-09-21,2012
"895","Mount Rainier National Park","Fall","Fall","Unintentional","Fatal injury","Male","Not Reported","Not Reported",2012-09-23,2012
"896","Lake Mead National Recreation Area","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Male","15-24","Driving",2012-09-23,2012
"897","Glen Canyon National Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Male","55-64","Swimming",2012-09-24,2012
"898","Glacier National Park","Drowning","Drowning","Unintentional","Fatal injury","Male","65+","Fishing",2012-09-25,2012
"899","Lake Mead National Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Male","45-54","Diving - Scuba",2012-09-29,2012
"900","Rocky Mountain National Park","Fall","Fall","Unintentional","Fatal injury","Female","45-54","Not Reported",2012-09-29,2012
"901","Glen Canyon National Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Male","35-44","Swimming",2012-10-03,2012
"902","Lake Mead National Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Male","45-54","Vessel Related",2012-10-04,2012
"903","Grand Canyon National Park","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Female","55-64","Driving",2012-10-09,2012
"904","Cape Hatteras National Seashore","Drowning","Drowning","Unintentional","Fatal injury","Male","65+","Fishing",2012-10-11,2012
"905","Lake Mead National Recreation Area","Fall","Fall","Unintentional","Fatal injury","Male","25-34","Diving (Land)",2012-10-13,2012
"906","Great Smoky Mountains National Park","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Male","25-34","Driving",2012-10-13,2012
"907","Saint Croix Island International Historic Site","Drowning","Drowning","Unintentional","Fatal injury","Male","45-54","Not Reported",2012-10-14,2012
"908","Fire Island National Seashore","Aircraft Incident","Other Transportation","Unintentional","Fatal injury","Male","45-54","Flying",2012-10-20,2012
"909","Fire Island National Seashore","Aircraft Incident","Other Transportation","Unintentional","Fatal injury","Male","65+","Flying",2012-10-20,2012
"910","Shenandoah National Park","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Male","55-64","Driving",2012-10-23,2012
"911","Sequoia & Kings Canyon National Parks","Undetermined","Undetermined","Undetermined","Fatal injury","Male","45-54","Hiking",2012-10-24,2012
"912","Zion National Park","Fall","Fall","Unintentional","Fatal injury","Male","45-54","Climbing",2012-10-26,2012
"913","Buffalo National River","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Male","Not Reported","Driving",2012-11-01,2012
"914","Cape Hatteras National Seashore","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Male","Not Reported","Driving",2012-11-11,2012
"915","Lake Mead National Recreation Area","Undetermined","Undetermined","Undetermined","Fatal injury","Male","25-34","Not Reported",2012-11-11,2012
"916","Cape Lookout National Seashore","Drowning","Drowning","Unintentional","Fatal injury","Male","55-64","Fishing",2012-11-19,2012
"917","Scotts Bluff National Monument","Fall","Fall","Unintentional","Fatal injury","Male","15-24","Not Reported",2012-11-25,2012
"918","Point Reyes National Seashore","Undetermined","Undetermined","Undetermined","Fatal injury","Female","65+","Not Reported",2012-12-06,2012
"919","Virgin Islands National Park","Drowning","Drowning","Unintentional","Fatal injury","Male","65+","Snorkeling",2012-12-13,2012
"920","Baltimore-Washington Parkway","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Not Reported","Not Reported","Driving",2012-12-24,2012
"921","Yosemite National Park","Aircraft Incident","Other Transportation","Unintentional","Fatal injury","Male","65+","Flying",2012-12-27,2012
"922","Baltimore-Washington Parkway","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Male","35-44","Driving",2013-01-05,2013
"923","Yosemite National Park","Asphyxiation","Other","Unintentional","Fatal injury","Male","65+","Eating",2013-01-09,2013
"924","Grand Canyon National Park","Drowning","Drowning","Unintentional","Fatal injury","Female","15-24","Vessel Related",2013-01-11,2013
"925","Virgin Islands National Park","Drowning","Drowning","Unintentional","Fatal injury","Male","55-64","Snorkeling",2013-01-13,2013
"926","Great Smoky Mountains National Park","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Female","Not Reported","Driving",2013-01-15,2013
"927","Great Smoky Mountains National Park","Undetermined","Undetermined","Undetermined","Fatal injury","Male","45-54","Hiking",2013-01-15,2013
"928","Redwood National and State Parks","Undetermined","Undetermined","Undetermined","Fatal injury","Not Reported","Not Reported","Not Reported",2013-01-15,2013
"929","Redwood National and State Parks","Undetermined","Undetermined","Undetermined","Fatal injury","Not Reported","Not Reported","Not Reported",2013-01-15,2013
"930","Joshua Tree National Park","Undetermined","Undetermined","Undetermined","Fatal injury","Male","55-64","Not Reported",2013-01-16,2013
"931","Great Smoky Mountains National Park","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Female","15-24","Driving",2013-01-17,2013
"932","Grand Canyon National Park","Fall","Fall","Unintentional","Fatal injury","Male","35-44","Base jumping",2013-01-24,2013
"933","Rocky Mountain National Park","Undetermined","Undetermined","Undetermined","Fatal injury","Male","35-44","Not Reported",2013-01-25,2013
"934","Grand Teton National Park","Avalanche","Environmental","Unintentional","Fatal injury","Male","25-34","Skiing",2013-01-27,2013
"935","Grand Teton National Park","Avalanche","Environmental","Unintentional","Fatal injury","Male","25-34","Skiing",2013-01-28,2013
"936","Fort Bowie National Historic Site","Undetermined","Undetermined","Undetermined","Fatal injury","Not Reported","Not Reported","Not Reported",2013-01-31,2013
"937","Delaware Water Gap National Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Male","65+","Fishing",2013-02-14,2013
"938","Delaware Water Gap National Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Male","Not Reported","Fishing",2013-02-15,2013
"939","Saint Croix Island International Historic Site","Drowning","Drowning","Unintentional","Fatal injury","Not Reported","Not Reported","Snowmobiling",2013-02-16,2013
"940","Grand Teton National Park","Avalanche","Environmental","Unintentional","Fatal injury","Male","35-44","Skiing",2013-03-01,2013
"941","Great Smoky Mountains National Park","Hypothermia","Environmental","Unintentional","Fatal injury","Male","35-44","Not Reported",2013-03-06,2013
"942","Great Smoky Mountains National Park","Drowning","Drowning","Unintentional","Fatal injury","Male","65+","Vessel Related",2013-03-11,2013
"943","Pea Ridge National Military Park","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Not Reported","Not Reported","Driving",2013-03-12,2013
"944","Pea Ridge National Military Park","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Not Reported","Not Reported","Driving",2013-03-12,2013
"945","Glacier National Park","Drowning","Drowning","Unintentional","Fatal injury","Female","25-34","Not Reported",2013-03-13,2013
"946","Rocky Mountain National Park","Hypothermia","Environmental","Unintentional","Fatal injury","Male","35-44","Hiking",2013-03-16,2013
"947","Everglades National Park","Undetermined","Undetermined","Undetermined","Fatal injury","Male","45-54","Vessel Related",2013-03-23,2013
"948","Canyonlands National Park","Undetermined","Undetermined","Undetermined","Fatal injury","Not Reported","Not Reported","Hiking",2013-04-07,2013
"949","Canyonlands National Park","Undetermined","Undetermined","Undetermined","Fatal injury","Not Reported","Not Reported","Hiking",2013-04-07,2013
"950","Natchez Trace Parkway","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Male","45-54","Bicycling",2013-04-09,2013
"951","Black Canyon Of The Gunnison National Park","Undetermined","Undetermined","Undetermined","Fatal injury","Male","Not Reported","Hiking",2013-04-09,2013
"952","Great Falls Park","Drowning","Drowning","Unintentional","Fatal injury","Male","45-54","Fishing",2013-04-12,2013
"953","Shenandoah National Park","Hypothermia","Environmental","Unintentional","Fatal injury","Male","65+","Not Reported",2013-04-13,2013
"954","Great Smoky Mountains National Park","Undetermined","Undetermined","Undetermined","Fatal injury","Male","Not Reported","Hiking",2013-04-16,2013
"955","Natchez Trace Parkway","Undetermined","Undetermined","Undetermined","Fatal injury","Male","55-64","Not Reported",2013-04-16,2013
"956","Acadia National Park","Drowning","Drowning","Unintentional","Fatal injury","Male","35-44","Vessel Related",2013-04-18,2013
"957","Acadia National Park","Drowning","Drowning","Unintentional","Fatal injury","Male","65+","Vessel Related",2013-04-18,2013
"958","Baltimore-Washington Parkway","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Male","Not Reported","Driving",2013-04-24,2013
"959","Gateway National Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Male","Not Reported","Not Reported",2013-04-27,2013
"960","Mojave National Preserve","Hyperthermia","Environmental","Unintentional","Fatal injury","Male","45-54","Driving",2013-04-27,2013
"961","Acadia National Park","Fall","Fall","Unintentional","Fatal injury","Male","15-24","Climbing",2013-04-28,2013
"962","Upper Delaware Scenic & Recreational River","Undetermined","Undetermined","Undetermined","Fatal injury","Male","Not Reported","Not Reported",2013-05-04,2013
"963","Golden Gate National Recreation Area","Undetermined","Undetermined","Undetermined","Fatal injury","Male","Not Reported","Not Reported",2013-05-04,2013
"964","Delaware Water Gap National Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Male","55-64","Swimming",2013-05-05,2013
"965","Yosemite National Park","Fall","Fall","Unintentional","Fatal injury","Male","65+","Photographing",2013-05-05,2013
"966","Buffalo National River","Drowning","Drowning","Unintentional","Fatal injury","Female","65+","Vessel Related",2013-05-06,2013
"967","New River Gorge National River","Electrocution","Other","Unintentional","Fatal injury","Male","15-24","Not Reported",2013-05-08,2013
"968","Golden Gate National Recreation Area","Undetermined","Undetermined","Undetermined","Fatal injury","Not Reported","Not Reported","Hiking",2013-05-15,2013
"969","Harpers Ferry National Historical Park","Train crash","Other Transportation","Unintentional","Fatal injury","Male","Not Reported","Not Reported",2013-05-17,2013
"970","Yosemite National Park","Rockfall","Environmental","Unintentional","Fatal injury","Male","35-44","Climbing",2013-05-19,2013
"971","New River Gorge National River","Train crash","Other Transportation","Unintentional","Fatal injury","Female","45-54","Walking",2013-05-20,2013
"972","Lake Roosevelt National Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Male","65+","Vessel Related",2013-05-21,2013
"973","Death Valley National Park","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Male","Not Reported","Driving",2013-05-21,2013
"974","Big Thicket National Preserve","Drowning","Drowning","Unintentional","Fatal injury","Male","25-34","Swimming",2013-05-26,2013
"975","Cape Hatteras National Seashore","Drowning","Drowning","Unintentional","Fatal injury","Male","55-64","Swimming",2013-05-31,2013
"976","Buffalo National River","Fall","Fall","Unintentional","Fatal injury","Male","Not Reported","Diving (Land)",2013-05-31,2013
"977","Yosemite National Park","Drowning","Drowning","Unintentional","Fatal injury","Male","15-24","Swimming",2013-06-01,2013
"978","Lake Mead National Recreation Area","Undetermined","Undetermined","Undetermined","Fatal injury","Male","Not Reported","Diving - Scuba",2013-06-01,2013
"979","Yosemite National Park","Rockfall","Environmental","Unintentional","Fatal injury","Male","25-34","Climbing",2013-06-02,2013
"980","Joshua Tree National Park","Fall","Fall","Unintentional","Fatal injury","Male","Not Reported","Camping",2013-06-06,2013
"981","Big Bend National Park","Hyperthermia","Environmental","Unintentional","Fatal injury","Male","25-34","Not Reported",2013-06-07,2013
"982","Lake Mead National Recreation Area","Undetermined","Undetermined","Undetermined","Fatal injury","Male","65+","Not Reported",2013-06-08,2013
"983","Chattahoochee River National Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Male","15-24","Not Reported",2013-06-09,2013
"984","Gulf Islands National Seashore","Undetermined","Undetermined","Undetermined","Fatal injury","Male","Not Reported","Not Reported",2013-06-14,2013
"985","Little River Canyon National Preserve","Drowning","Drowning","Unintentional","Fatal injury","Male","15-24","Swimming",2013-06-15,2013
"986","Blue Ridge Parkway","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Female","35-44","Driving",2013-06-16,2013
"987","Lake Roosevelt National Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Male","65+","Vessel Related",2013-06-19,2013
"988","Lake Mead National Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Male","35-44","Swimming",2013-06-20,2013
"989","Olympic National Park","Fall","Fall","Unintentional","Fatal injury","Male","Not Reported","Climbing",2013-06-20,2013
"990","Grand Teton National Park","Fall","Fall","Unintentional","Fatal injury","Male","55-64","Climbing",2013-06-20,2013
"991","Glen Canyon National Recreation Area","Vessel Incident","Other Transportation","Unintentional","Fatal injury","Female","15-24","Vessel Related",2013-06-20,2013
"992","Glen Canyon National Recreation Area","Vessel Incident","Other Transportation","Unintentional","Fatal injury","Female","25-34","Vessel Related",2013-06-20,2013
"993","Glen Canyon National Recreation Area","Vessel Incident","Other Transportation","Unintentional","Fatal injury","Female","55-64","Vessel Related",2013-06-20,2013
"994","Sequoia & Kings Canyon National Parks","Fall","Fall","Unintentional","Fatal injury","Male","45-54","Not Reported",2013-06-21,2013
"995","Chickasaw National Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Male","45-54","Swimming",2013-06-22,2013
"996","Lake Mead National Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Male","25-34","Swimming",2013-06-22,2013
"997","Lake Mead National Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Male","25-34","Swimming",2013-06-23,2013
"998","Lake Mead National Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Male","25-34","Not Reported",2013-06-23,2013
"999","Mount Rainier National Park","Drowning","Drowning","Unintentional","Fatal injury","Male","0-14","Not Reported",2013-06-23,2013
"1000","Glen Canyon National Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Male","45-54","Swimming",2013-06-24,2013
"1001","Great Falls Park","Drowning","Drowning","Unintentional","Fatal injury","Male","15-24","Swimming",2013-06-24,2013
"1002","Lake Mead National Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Male","25-34","Not Reported",2013-06-24,2013
"1003","Grand Teton National Park","Fall","Fall","Unintentional","Fatal injury","Male","55-64","Climbing",2013-06-24,2013
"1004","Cape Hatteras National Seashore","Drowning","Drowning","Unintentional","Fatal injury","Male","15-24","Swimming",2013-06-26,2013
"1005","Glacier National Park","Fall","Fall","Unintentional","Fatal injury","Male","55-64","Hiking",2013-06-26,2013
"1006","Glen Canyon National Recreation Area","Undetermined","Undetermined","Undetermined","Fatal injury","Male","55-64","Not Reported",2013-06-26,2013
"1007","Glen Canyon National Recreation Area","Vessel Incident","Other Transportation","Unintentional","Fatal injury","Male","0-14","Vessel Related",2013-06-28,2013
"1008","Great Falls Park","Drowning","Drowning","Unintentional","Fatal injury","Male","15-24","Rock Scrambling",2013-06-29,2013
"1009","Lake Mead National Recreation Area","Fall","Fall","Unintentional","Fatal injury","Male","Not Reported","Not Reported",2013-06-30,2013
"1010","Grand Canyon National Park","Hyperthermia","Environmental","Unintentional","Fatal injury","Female","Not Reported","Hiking",2013-06-30,2013
"1011","Sleeping Bear Dunes National Lakeshore","Drowning","Drowning","Unintentional","Fatal injury","Male","0-14","Vessel Related",2013-07-01,2013
"1012","Baltimore-Washington Parkway","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Male","Not Reported","Walking",2013-07-06,2013
"1013","Delaware Water Gap National Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Male","0-14","Fishing",2013-07-08,2013
"1014","Golden Gate National Recreation Area","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Male","25-34","Driving",2013-07-08,2013
"1015","Glacier National Park","Fall","Fall","Unintentional","Fatal injury","Male","15-24","Climbing",2013-07-09,2013
"1016","Black Canyon Of The Gunnison National Park","Fall","Fall","Unintentional","Fatal injury","Male","Not Reported","Not Reported",2013-07-10,2013
"1017","Channel Islands National Park","Undetermined","Undetermined","Undetermined","Fatal injury","Not Reported","Not Reported","Not Reported",2013-07-10,2013
"1018","Great Falls Park","Drowning","Drowning","Unintentional","Fatal injury","Female","15-24","Vessel Related",2013-07-11,2013
"1019","Shenandoah National Park","Undetermined","Undetermined","Undetermined","Fatal injury","Male","15-24","Not Reported",2013-07-12,2013
"1020","Glacier National Park","Undetermined","Undetermined","Undetermined","Fatal injury","Male","25-34","Not Reported",2013-07-12,2013
"1021","Isle Royale National Park","Undetermined","Undetermined","Undetermined","Fatal injury","Male","55-64","Diving - Scuba",2013-07-13,2013
"1022","Saint Croix Island International Historic Site","Undetermined","Undetermined","Undetermined","Fatal injury","Male","15-24","Diving (Land)",2013-07-15,2013
"1023","Yellowstone National Park","Undetermined","Undetermined","Undetermined","Fatal injury","Male","15-24","Hiking",2013-07-18,2013
"1024","Delaware Water Gap National Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Male","45-54","Swimming",2013-07-20,2013
"1025","Olympic National Park","Fall","Fall","Unintentional","Fatal injury","Male","25-34","Climbing",2013-07-20,2013
"1026","Redwood National and State Parks","Drowning","Drowning","Unintentional","Fatal injury","Not Reported","Not Reported","Not Reported",2013-07-22,2013
"1027","Yellowstone National Park","Drowning","Drowning","Unintentional","Fatal injury","Male","65+","Fishing",2013-07-24,2013
"1028","Glacier National Park","Fall","Fall","Unintentional","Fatal injury","Male","15-24","Climbing",2013-07-25,2013
"1029","Indiana Dunes National Park","Drowning","Drowning","Unintentional","Fatal injury","Male","35-44","Swimming",2013-07-27,2013
"1030","Big Bend National Park","Drowning","Drowning","Unintentional","Fatal injury","Not Reported","Not Reported","Not Reported",2013-07-27,2013
"1031","Voyageurs National Park","Drowning","Drowning","Unintentional","Fatal injury","Male","0-14","Snorkeling",2013-07-29,2013
"1032","Delaware Water Gap National Recreation Area","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Male","55-64","Driving",2013-08-01,2013
"1033","Point Reyes National Seashore","Undetermined","Undetermined","Undetermined","Fatal injury","Male","Not Reported","Not Reported",2013-08-01,2013
"1034","Big Bend National Park","Hyperthermia","Environmental","Unintentional","Fatal injury","Male","15-24","Hiking",2013-08-03,2013
"1035","Lake Mead National Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Male","15-24","Swimming",2013-08-04,2013
"1036","Canyonlands National Park","Undetermined","Undetermined","Undetermined","Fatal injury","Male","65+","Not Reported",2013-08-04,2013
"1037","Chattahoochee River National Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Male","25-34","Vessel Related",2013-08-06,2013
"1038","Glen Canyon National Recreation Area","Vessel Incident","Other Transportation","Unintentional","Fatal injury","Male","15-24","Vessel Related",2013-08-07,2013
"1039","Great Smoky Mountains National Park","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Male","35-44","Driving",2013-08-09,2013
"1040","Grand Canyon National Park","Undetermined","Undetermined","Undetermined","Fatal injury","Male","55-64","Hiking",2013-08-09,2013
"1041","Sequoia & Kings Canyon National Parks","Undetermined","Undetermined","Undetermined","Fatal injury","Not Reported","65+","Not Reported",2013-08-09,2013
"1042","Sequoia & Kings Canyon National Parks","Undetermined","Undetermined","Undetermined","Fatal injury","Male","45-54","Not Reported",2013-08-09,2013
"1043","Upper Delaware Scenic & Recreational River","Drowning","Drowning","Unintentional","Fatal injury","Male","15-24","Vessel Related",2013-08-10,2013
"1044","Blue Ridge Parkway","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Male","15-24","Driving",2013-08-10,2013
"1045","George Washington Birthplace","Drowning","Drowning","Unintentional","Fatal injury","Male","0-14","Photographing",2013-08-11,2013
"1046","Lake Mead National Recreation Area","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Male","25-34","Driving",2013-08-11,2013
"1047","George Washington Birthplace","Drowning","Drowning","Unintentional","Fatal injury","Male","0-14","Swimming",2013-08-12,2013
"1048","New River Gorge National River","Drowning","Drowning","Unintentional","Fatal injury","Male","15-24","Vessel Related",2013-08-13,2013
"1049","Chattahoochee River National Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Male","25-34","Swimming",2013-08-13,2013
"1050","Delaware Water Gap National Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Male","15-24","Swimming",2013-08-14,2013
"1051","Rocky Mountain National Park","Fall","Fall","Unintentional","Fatal injury","Male","15-24","Climbing",2013-08-15,2013
"1052","Glen Canyon National Recreation Area","Undetermined","Undetermined","Undetermined","Fatal injury","Male","45-54","Not Reported",2013-08-16,2013
"1053","Upper Delaware Scenic & Recreational River","Drowning","Drowning","Unintentional","Fatal injury","Male","15-24","Swimming",2013-08-18,2013
"1054","Great Smoky Mountains National Park","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Male","35-44","Driving",2013-08-18,2013
"1055","Rocky Mountain National Park","Fall","Fall","Unintentional","Fatal injury","Male","15-24","Climbing",2013-08-22,2013
"1056","Baltimore-Washington Parkway","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Female","Not Reported","Driving",2013-08-22,2013
"1057","Organ Pipe Cactus National Monument","Undetermined","Undetermined","Undetermined","Fatal injury","Not Reported","Not Reported","Not Reported",2013-08-25,2013
"1058","Zion National Park","Fall","Fall","Unintentional","Fatal injury","Male","55-64","Hiking",2013-08-27,2013
"1059","Chattahoochee River National Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Male","65+","Vessel Related",2013-08-29,2013
"1060","Haleakala National Park","Drowning","Drowning","Unintentional","Fatal injury","Male","35-44","Swimming",2013-08-30,2013
"1061","Sequoia & Kings Canyon National Parks","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Male","35-44","Driving",2013-08-31,2013
"1062","Sequoia & Kings Canyon National Parks","Fall","Fall","Unintentional","Fatal injury","Male","55-64","Hiking",2013-09-01,2013
"1063","Great Falls Park","Drowning","Drowning","Unintentional","Fatal injury","Male","15-24","Swimming",2013-09-02,2013
"1064","Sequoia & Kings Canyon National Parks","Fall","Fall","Unintentional","Fatal injury","Male","55-64","Hiking",2013-09-02,2013
"1065","Zion National Park","Fall","Fall","Unintentional","Fatal injury","Female","45-54","Hiking",2013-09-05,2013
"1066","Grand Canyon National Park","Fall","Fall","Unintentional","Fatal injury","Female","45-54","Not Reported",2013-09-05,2013
"1067","Point Reyes National Seashore","Drowning","Drowning","Unintentional","Fatal injury","Male","35-44","Swimming",2013-09-06,2013
"1068","Zion National Park","Fall","Fall","Unintentional","Fatal injury","Female","45-54","Canyoneering",2013-09-06,2013
"1069","Yellowstone National Park","Firearm","Other","Unintentional","Fatal injury","Female","0-14","Playing Sports",2013-09-07,2013
"1070","Lake Mead National Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Male","55-64","Swimming",2013-09-08,2013
"1071","Grand Teton National Park","Fall","Fall","Unintentional","Fatal injury","Male","35-44","Climbing",2013-09-08,2013
"1072","Colorado National Monument","Fall","Fall","Unintentional","Fatal injury","Female","Not Reported","Not Reported",2013-09-08,2013
"1073","Colorado National Monument","Undetermined","Undetermined","Undetermined","Fatal injury","Not Reported","Not Reported","Not Reported",2013-09-09,2013
"1074","Lake Mead National Recreation Area","Undetermined","Undetermined","Undetermined","Fatal injury","Male","55-64","Not Reported",2013-09-09,2013
"1075","Grand Teton National Park","Aircraft Incident","Other Transportation","Unintentional","Fatal injury","Male","Not Reported","Flying",2013-09-11,2013
"1076","Grand Teton National Park","Aircraft Incident","Other Transportation","Unintentional","Fatal injury","Female","Not Reported","Flying",2013-09-11,2013
"1077","Blue Ridge Parkway","Fall","Fall","Unintentional","Fatal injury","Female","0-14","Climbing",2013-09-15,2013
"1078","North Cascades National Park","Rockfall","Environmental","Unintentional","Fatal injury","Not Reported","25-34","Climbing",2013-09-15,2013
"1079","Colorado National Monument","Fall","Fall","Unintentional","Fatal injury","Male","25-34","Not Reported",2013-09-18,2013
"1080","Craters Of The Moon National Monument & Preserve","Hypothermia","Environmental","Unintentional","Fatal injury","Female","55-64","Hiking",2013-09-19,2013
"1081","Craters Of The Moon National Monument & Preserve","Hypothermia","Environmental","Unintentional","Fatal injury","Female","65+","Hiking",2013-09-19,2013
